Sub	Version	Age	Gender	TST	Digit	Control_acc1	Control_acc2	Control_acc3	ctrl_acc	OBS_acc1	OBS_acc2	OBS_acc3	object-based_acc	EBS_acc1	EBS_acc2	EBS_acc3	effector-based_acc	Control_rtfilt1	Control_rtfilt2	Control_rtfilt3	ctrl_rt	OBS_rtfilt1	OBS_rtfilt2	OBS_rtfilt3	object-based_rt	EBS_rtfilt1	EBS_rtfilt2	EBS_rtfilt3	effector-based_rt
1	A	25	F	21.8	1	0.85	0.8	0.8	0.816666667	0.6	0.35	0.65	0.533333333	0.8	0.6	0.75	0.716666667	0.89	0.81	0.9	0.866666667	0.85	0.95	0.7	0.833333333	0.69	0.76	0.69	0.713333333
2	B	26	M	232.7	0.957142857	0.9	0.9	0.95	0.916666667	0.95	0.95	1	0.966666667	0.95	0.95	1	0.966666667	0.94	0.73	0.74	0.803333333	0.75	0.75	0.72	0.74	0.78	0.6	0.8	0.726666667
3	B	22	F	164.5		0.9	0.75	1	0.883333333	0.65	0.55	0.55	0.583333333	0.95	0.85	0.9	0.9	1.31	1.43	1.03	1.256666667	1.32	1.18	1.14	1.213333333	1	0.96	1.19	1.05
4	B	19	F	52.4	0.985294118	0.85	0.7	0.7	0.75	0.9	1	0.85	0.916666667	0.85	0.95	0.9	0.9	1.55	1.64	1.63	1.606666667	1.13	1.61	1.37	1.37	1.39	1.04	1.22	1.216666667
5	B	21	F	61.5	0.952380952	0.8	0.85	0.8	0.816666667	0.9	0.75	0.7	0.783333333	0.8	0.8	0.8	0.8	1.22	1.15	0.95	1.106666667	1.07	1.27	1.43	1.256666667	1.5	1.25	1.26	1.336666667
6	B	32	M	248.7	0.934210526	0.7	0.95	1	0.883333333	0.95	1	1	0.983333333	0.95	0.9	0.95	0.933333333	1.4	1.18	0.87	1.15	0.77	0.8	0.57	0.713333333	0.66	0.6	0.55	0.603333333
7	B	35	M	173.8	0.974358974	0.95	0.9	0.95	0.933333333	0.9	0.85	0.95	0.9	0.85	0.9	0.9	0.883333333	1.27	1.13	1.17	1.19	1.17	1.15	0.99	1.103333333	1.21	1.07	1.03	1.103333333
8	B	22	F	67.7	0.9375	0.7	0.45	0.5	0.55	0.75	0.7	0.5	0.65	0.75	0.65	0.65	0.683333333	1.22	1.05	0.91	1.06	1.27	1.22	1.33	1.273333333	1.19	0.91	0.98	1.026666667
9	A	23	F	34.5	0.936708861	0.65	0.7	0.4	0.583333333	0.85	0.75	0.75	0.783333333	0.7	0.4	0.5	0.533333333	1.46	1.55	1.8	1.603333333	2.22	2.02	1.96	2.066666667	1.96	2.13	2.07	2.053333333
10	A	29	M	185.3		0.8	0.95	0.9	0.883333333	0.65	0.85	0.85	0.783333333	0.95	0.9	0.95	0.933333333	1.04	1.46	1.45	1.316666667	1.75	1.49	1.42	1.553333333	1.16	1.22	1.03	1.136666667
11	B	22	F	59.5	0.95	0.55	0.75	0.55	0.616666667	0.65	0.75	0.6	0.666666667	0.8	0.75	0.75	0.766666667	1.09	1.39	1.46	1.313333333	1.3	1.39	1.37	1.353333333	1.29	1.21	1.31	1.27
12	B	26	F	45.4	0.986666667	0.8	0.9	1	0.9	0.9	0.9	1	0.933333333	1	1	0.95	0.983333333	1.64	0.89	0.84	1.123333333	0.93	1.05	0.73	0.903333333	0.79	0.84	0.62	0.75
13	A	21	F	71.1		0.7	0.8	0.75	0.75	0.9	0.85	0.95	0.9	0.85	0.8	0.85	0.833333333	1.52	1.15	1.26	1.31	1	1.09	0.89	0.993333333	1.17	1.04	1.05	1.086666667
14	A	24	F	70.5	1	0.8	0.8	0.8	0.8	0.9	0.7	1	0.866666667	0.9	0.9	0.8	0.866666667	1.39	1.36	1.4	1.383333333	1.17	1.18	1.05	1.133333333	1.13	1.31	1.24	1.226666667
15	A	24	F	40.1	0.944444444	0.55	0.65	0.7	0.633333333	0.9	0.7	0.85	0.816666667	0.65	0.8	0.6	0.683333333	1.19	1.48	1.86	1.51	1.48	1.23	1.15	1.286666667	1.5	1.72	1.81	1.676666667
16	A	20	F	89.1	1.111111111	0.75	0.85	0.75	0.783333333	0.75	0.8	0.65	0.733333333	0.55	0.65	0.95	0.716666667	1.31	1.39	1.62	1.44	1.1	1.45	1.01	1.186666667	1.03	1.08	1.5	1.203333333
17	A	26	F	19.6	1.046875	0.65	0.65	0.65	0.65	0.85	0.55	0.7	0.7	0.8	0.8	0.75	0.783333333	1.22	1.44	2.03	1.563333333	1.13	1.18	1.11	1.14	1.35	1.79	1.61	1.583333333
18	B	30	F	58.7	0.985915493	0.7	0.9	0.95	0.85	0.95	0.8	0.95	0.9	0.9	0.9	1	0.933333333	1.84	1.36	0.87	1.356666667	1.13	1.46	0.96	1.183333333	1	1.02	1	1.006666667
19	A	20	F	37.7	0.971428571	0.8	0.9	0.9	0.866666667	0.9	0.8	0.95	0.883333333	0.9	1	0.9	0.933333333	0.83	0.98	1.06	0.956666667	0.99	1.24	0.98	1.07	0.95	1.12	1.01	1.026666667
21	B	25	F	49.7		0.5	0.6	0.75	0.616666667	0.65	0.85	0.75	0.75	0.8	0.95	0.85	0.866666667	1.68	1.86	1.62	1.72	1.18	1.37	1.16	1.236666667	1.16	1.16	1.16	1.16
22	A	23	F	75.9	0.95890411	0.75	0.45	0.7	0.633333333	0.8	0.7	0.4	0.633333333	0.85	0.7	0.5	0.683333333	1.23	1.67	1.96	1.62	1.29	1.45	1.31	1.35	1.7	1.65	1.29	1.546666667
23	B	22	F	67.7	0.928571429	0.4	0.8	0.75	0.65	0.75	0.75	0.9	0.8	0.8	0.7	0.8	0.766666667	1.1	1.15	0.9	1.05	0.83	0.99	0.81	0.876666667	0.86	0.95	0.83	0.88
24	A	29	F	43.2		0.7	0.6	0.8	0.7	0.9	0.8	0.75	0.816666667	0.5	0.45	0.45	0.466666667	1.34	1.39	1.62	1.45	1.61	1.52	1.55	1.56	1.26	1.02	1.57	1.283333333
25	A	26	M	244.8		0.95	0.9	0.95	0.933333333	0.9	1	1	0.966666667	0.95	0.9	0.9	0.916666667	1.62	1.3	1.23	1.383333333	1.02	0.99	0.98	0.996666667	1.01	1.2	1.15	1.12
26	B	24	F	44.9	1.054054054	0.8	0.5	0.8	0.7	0.75	0.85	0.75	0.783333333	0.6	0.65	0.7	0.65	1.25	1.81	1.19	1.416666667	1.37	1.27	1.03	1.223333333	1.11	0.99	0.92	1.006666667
27	A	24	F	54.4		0.65	0.65	0.8	0.7	0.7	0.45	0.55	0.566666667	0.7	0.75	0.75	0.733333333	1.39	1.7	1.17	1.42	0.91	0.93	0.98	0.94	1.18	0.81	0.92	0.97
28	B	27	M	133.1	0.987654321	0.8	0.95	0.85	0.866666667	1	0.95	0.75	0.9	0.75	0.8	1	0.85	1.93	1.49	1.26	1.56	1.55	1.68	1.25	1.493333333	1.42	1.09	1.03	1.18
29	B	32	M	285.8	1	0.95	0.85	1	0.933333333	0.95	0.95	0.8	0.9	0.9	1	1	0.966666667	1.11	0.99	0.75	0.95	1.04	1.13	1.12	1.096666667	0.73	0.72	0.86	0.77
30	A	23	M	218.3		0.6	0.8	0.65	0.683333333	0.75	0.55	0.8	0.7	0.85	0.65	0.6	0.7	1.16	1.53	1.4	1.363333333	1.02	0.95	1.26	1.076666667	1.13	1.22	1.29	1.213333333
